zip,year,bank,tractrat,income,bocreditscore,ltv,amount,rate,zipcode,city,state,metro,countyname,avghomevalue2016,avghomevalue2018
36079,2018,Boston,1.459,115050,4,0.8,155000,0.0438,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.459,115050,4,0.8,155000,0.0438,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.459,32052,4,0.95,88300,0.0463,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.459,32052,4,0.95,88300,0.0463,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.459,32052,4,0.95,88300,0.0463,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.459,32052,4,0.95,88300,0.0463,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.459,32052,4,0.95,88300,0.0463,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.459,32052,4,0.95,88300,0.0463,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.3685,155700,4,0.75,450000,0.045,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.3685,155700,4,0.75,450000,0.045,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.3685,155700,4,0.75,450000,0.045,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.3685,155700,4,0.75,450000,0.045,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.3685,155700,4,0.75,450000,0.045,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.3685,155700,4,0.75,450000,0.045,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.459,75504,5,0.79,185000,0.0425,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.459,75504,5,0.79,185000,0.0425,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.459,75504,5,0.79,185000,0.0425,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.459,75504,5,0.79,185000,0.0425,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.459,75504,5,0.79,185000,0.0425,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.459,75504,5,0.79,185000,0.0425,36081,Troy,AL,Troy,Pike County,105579,114244
