ZipCode,City,State,Metro,CountyName,2016_AvgHomeValue
07044,Verona,NJ,New York-Newark-Jersey City,Essex County,461912
98026,Edmonds,WA,Seattle-Tacoma-Bellevue,Snohomish County,461722
07921,Bedminster Township,NJ,New York-Newark-Jersey City,Somerset County,461685
11239,New York,NY,New York-Newark-Jersey City,Kings County,461680
20842,Dickerson,MD,Washington-Arlington-Alexandria,Montgomery County,461529
78739,Austin,TX,Austin-Round Rock,Travis County,461396
30338,Dunwoody,GA,Atlanta-Sandy Springs-Roswell,Dekalb County,461373
22309,Mount Vernon,VA,Washington-Arlington-Alexandria,Fairfax County,461371
10983,Orangetown,NY,New York-Newark-Jersey City,Rockland County,461298
07094,Secaucus,NJ,New York-Newark-Jersey City,Hudson County,461276
08033,Haddonfield,NJ,Philadelphia-Camden-Wilmington,Camden County,460913
97211,Portland,OR,Portland-Vancouver-Hillsboro,Multnomah County,460910
78759,Austin,TX,Austin-Round Rock,Travis County,460880
53726,Madison,WI,Madison,Dane County,460846
08844,Hillsborough Township,NJ,New York-Newark-Jersey City,Somerset County,460766
20837,Poolesville,MD,Washington-Arlington-Alexandria,Montgomery County,460711
02124,Boston,MA,Boston-Cambridge-Newton,Suffolk County,460343
10970,Mount Ivy,NY,New York-Newark-Jersey City,Rockland County,460241
18980,Wrightstown Township,PA,Philadelphia-Camden-Wilmington,Bucks County,459606
80528,Fort Collins,CO,Fort Collins,Larimer County,459495
07647,Northvale,NJ,New York-Newark-Jersey City,Bergen County,459468
07009,Cedar Grove,NJ,New York-Newark-Jersey City,Essex County,459367
37067,Franklin,TN,Nashville-Davidson--Murfreesboro--Franklin,Williamson County,459294
75093,Plano,TX,Dallas-Fort Worth-Arlington,Collin County,459227
10977,Ramapo,NY,New York-Newark-Jersey City,Rockland County,459147
80125,Roxborough Park,CO,Denver-Aurora-Lakewood,Douglas County,459135
32550,Miramar Beach,FL,Crestview-Fort Walton Beach-Destin,Walton County,459113
11581,Valley Stream,NY,New York-Newark-Jersey City,Nassau County,459023
95377,Tracy,CA,Stockton-Lodi,San Joaquin County,458911
95765,Rocklin,CA,Sacramento--Roseville--Arden-Arcade,Placer County,458901
81301,Durango,CO,Durango,La Plata County,458882
75034,Frisco,TX,Dallas-Fort Worth-Arlington,Collin County,458614
98571,Pacific Beach,WA,Aberdeen,Grays Harbor County,458533
90706,Bellflower,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,458439
96143,Kings Beach,CA,Sacramento--Roseville--Arden-Arcade,Placer County,458415
33001,Layton,FL,Key West,Monroe County,458382
91342,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,458214
33408,North Palm Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,457992
07980,Long Hill Township,NJ,New York-Newark-Jersey City,Morris County,457958
92057,Oceanside,CA,San Diego-Carlsbad,San Diego County,457944
11788,Town of Islip,NY,New York-Newark-Jersey City,Suffolk County,457816
80428,Clark,CO,Steamboat Springs,Routt County,457783
95664,Pilot Hill,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,457492
11010,Franklin Square,NY,New York-Newark-Jersey City,Nassau County,457482
90605,Whittier,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,457443
18925,Buckingham Township,PA,Philadelphia-Camden-Wilmington,Bucks County,457418
02093,Wrentham,MA,Boston-Cambridge-Newton,Norfolk County,457091
98068,Snoqualmie Pass,WA,Ellensburg,Kittitas County,457057
02840,Newport,RI,Providence-Warwick,Newport County,456949
80516,Erie,CO,Greeley,Weld County,456753
21754,Ijamsville,MD,Washington-Arlington-Alexandria,Frederick County,456709
02171,Quincy,MA,Boston-Cambridge-Newton,Norfolk County,456587
