ZipCode,City,State,Metro,CountyName,2018_AvgHomeValue
10065,New York,NY,New York-Newark-Jersey City,New York County,8779974
10075,New York,NY,New York-Newark-Jersey City,New York County,7859110
10021,New York,NY,New York-Newark-Jersey City,New York County,7397214
10128,New York,NY,New York-Newark-Jersey City,New York County,5937647
10014,New York,NY,New York-Newark-Jersey City,New York County,5687485
94027,Atherton,CA,San Francisco-Oakland-Hayward,San Mateo County,5320040
81611,Aspen,CO,Glenwood Springs,Pitkin County,5220188
02108,Boston,MA,Boston-Cambridge-Newton,Suffolk County,4818923
33480,Palm Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,4425368
10013,New York,NY,New York-Newark-Jersey City,New York County,4402882
11962,Sagaponack,NY,New York-Newark-Jersey City,Suffolk County,4362714
94301,Palo Alto,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3918632
94022,Los Altos,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3832459
94304,Palo Alto,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3713273
10028,New York,NY,New York-Newark-Jersey City,New York County,3619090
10024,New York,NY,New York-Newark-Jersey City,New York County,3565878
94028,Portola Valley,CA,San Francisco-Oakland-Hayward,San Mateo County,3559767
90210,Beverly Hills,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,3478777
94123,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,3376896
10007,New York,NY,New York-Newark-Jersey City,New York County,3298737
94305,Stanford,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3274141
81615,Snowmass Village,CO,Glenwood Springs,Pitkin County,3269910
11201,New York,NY,New York-Newark-Jersey City,Kings County,3237918
94024,Los Altos,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3171025
11976,Water Mill,NY,New York-Newark-Jersey City,Suffolk County,3121823
81656,Aspen,CO,Glenwood Springs,Pitkin County,3101780
90402,Santa Monica,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,3025571
92657,Newport Beach,CA,Los Angeles-Long Beach-Anaheim,Orange County,2993655
